ch_id,LV
1111111¤²,21
01111111,82
211111111,10
111111114,2
a11111111,40
311111111,26
111111115,19
11111111¶°,6
111111112,2
±À111111,31
111111°¡,2
l111111,51
1111117,90
±À111111111,31
111111111l,40
1111,26
1111111111z,40
¤²1111111111,1
±è1111111111,36
1111111111q,28
±À11111,31
111112,33
11111],29
111118,1
11111¤©,1
111111111119,40
011111111111,55
111111111110,15
11111111,100
1111111,11
´øÀü11111111,40
1111111132,22
11111111¤²¤¤,23
½Ã¸Í11111111,51
½ÅÀÓ11111111,41
11111111sa,46
À¯È­11111111,31
¸ô¶ó11111111,1
1111111122,24
°áÀü11111111,1
°Ë±Í11111111,100
ºí·¹11111111,1
111111,86
ÃÑ¼ö1111111,61
111111131,53
1111111¤§¤¸,7
¤©1111111¤¸,22
1111111kk,36
111111129,15
½ÇÇè1111111,86
111111145,1
W1111111W,90
1111111¤º¤½,1
ºÎÄ³1111111,100
11111,10
111111111..,31
11211111111,48
11111.11111,37
11111111143,1
111111111,3
111111111198,15
111111211111,31
lo1111111111,34
lq1111111111,34
111111111211,5
111111111124,13
221111111111,1
201111111111,34
111111121111,50
111111111131,20
121111111111,21
W1111111111W,90
211111111112,42
ÇÏÀÌ111111,40
±À1111115,31
11111134,23
Ã¢°í111111,40
11111d11,39
11111122,20
ma111111,20
21111115,1
11111198,27
Å©¸®111111,40
ÀºÃ­111111,1
±¤ºÎ111111,46
¶ì¹ß111111,85
11121111,100
·ÑÃæ111111,1
p111111q,38
¾Æ1111,7
11110,8
¼³1111,34
s1111,1
1111°Å,1
1111Ãþ,90
´ó1111,1
01111,86
1111111111,80
11111111111,9
11111¤¾¤¾,2
³ªÆ÷11111,3
±À111113,31
yu11111,31
0011111,44
@11111!,32
kk11111,44
1141111,30
1111143,1
Ã¢°í11111,16
11111s2,13
¤¸¤¸11111,63
¤·¤·11111,19
1111177,20
1111122,10
1111155,1
1211111,23
¸ô¶ó11111,21
1111121,1
1111100,1
GO11111,86
±¤ºÎ11111,25
111¤±111,85
D11111D,100
Á¡ÇÎ11111,100
ºÎÄÉ11111,100
11111¤©¤·,1
p11111q,66
Å©¸®11111,91
¤²1111111,3
a1111111,20
11111112,100
11111113,15
¤·1111111,1
¤½1111111,29
11111111A,1
011111111,1
11111111l,34
±è11111111,30
11111111q,1
111111¢â,33
111111¤²,30
µ·111111,75
1111111112,20
111111111¤±,21
111111111¤¥,18
¤º111111111,29
1111111113,85
1111111117,85
111111111111,35
±À1111111,31
s1111111,11
11111117,90
111111113,26
11111111¤À,20
411111111,41
11111111!,85
111111117,90
1111111111k,34
1111111111¤·,1
¤º1111111111,1
±è111111,37
1111112,15
111111),1
1111113,85
1111115,85
z111111,1
1111118,85
ºï111111,1
1111111114,12
±è111111111,34
111111111¤¼,38
4111111111,1
1111111118,1
È«11111,1
¤Ç11111,32
311111,39
d11111,29
p11111,35
111117,1
111115,90
111111111223,6
111111111229,6
111111111314,19
sda111111111,4
liz111111111,31
111111111aas,40
111111111321,8
564111111111,28
111111111355,17
111111111373,14
121111111112,1
111111114114,40
vas111111111,36
111111111222,26
32111111111s,62
qwr111111111,35
111111112211,23
11111112111l,13
22,85
2222222,20
222222,74
222222222,23
22222222,12
2222222222,28
22222222222,32
22222,2
22222224,10
12222222,1
122222222,1
222222221,1
222222229,1
